menu_name,inventory_ID,quantity_needed
Chow Mein,500009,1
Chow Mein,500032,0.5
Chow Mein,500045,0.25
Chow Mein,500014,1
Chow Mein,500011,0.5
Chow Mein,500050,0.25
Fried Rice,500051,1
Fried Rice,500027,1
Fried Rice,500033,0.5
Fried Rice,500010,0.5
Fried Rice,500045,0.25
Fried Rice,500024,0.25
White Rice,500051,1
Super Greens,500009,0.5
Super Greens,500008,0.5
Super Greens,500026,0.5
Super Greens,500045,0.25
Beijing Beef,500003,1
Beijing Beef,500046,0.25
Beijing Beef,500037,0.5
Beijing Beef,500032,0.5
Beijing Beef,500045,0.25
Beijing Beef,500022,0.25
Beijing Beef,500018,0.25
Broccoli Beef,500008,0.5
Broccoli Beef,500003,1
Broccoli Beef,500045,0.25
Black Pepper Sirloin Steak,500000,1
Black Pepper Sirloin Steak,500002,0.5
Black Pepper Sirloin Steak,500030,0.5
Black Pepper Sirloin Steak,500032,0.5
Black Pepper Sirloin Steak,500006,0.5
Black Pepper Sirloin Steak,500045,0.25
Black Pepper Sirloin Steak,500047,0.5
Black Pepper Sirloin Steak,500028,0.5
Black Pepper Sirloin Steak,500044,0.25
Black Pepper Sirloin Steak,500015,0.5
Black Pepper Sirloin Steak,500005,0.25
Black Pepper Chicken,500017,1
Black Pepper Chicken,500011,0.5
Black Pepper Chicken,500032,0.5
Black Pepper Chicken,500045,0.25
Grilled Chicken,500017,1
Grilled Chicken,500046,0.25
Grilled Chicken,500041,0.25
Grilled Chicken,500043,0.25
Grilled Chicken,500045,0.25
Honey Sesame Chicken,500013,1
Honey Sesame Chicken,500023,0.5
Honey Sesame Chicken,500052,0.5
Honey Sesame Chicken,500018,0.25
Honey Sesame Chicken,500022,0.25
Honey Sesame Chicken,500015,0.25
Honey Walnut Shrimp,500042,1
Honey Walnut Shrimp,500022,0.25
Honey Walnut Shrimp,500045,0.25
Honey Walnut Shrimp,500039,0.5
Honey Walnut Shrimp,500049,0.25
Honey Walnut Shrimp,500046,0.25
Kung Pao Chicken,500017,1
Kung Pao Chicken,500053,0.5
Kung Pao Chicken,500037,0.5
Kung Pao Chicken,500034,0.25
Kung Pao Chicken,500045,0.25
Kung Pao Chicken,500024,0.25
Mushroom Chicken,500017,1
Mushroom Chicken,500030,0.5
Mushroom Chicken,500053,0.5
Mushroom Chicken,500045,0.25
Orange Chicken,500017,1
Orange Chicken,500046,0.25
Orange Chicken,500018,0.25
Orange Chicken,500022,0.25
Orange Chicken,500015,0.25
Orange Chicken,500036,0.25
String Bean Chicken,500023,0.5
String Bean Chicken,500013,1
String Bean Chicken,500032,0.5
String Bean Chicken,500045,0.25
SweetFire Chicken,500013,1
SweetFire Chicken,500035,0.5
SweetFire Chicken,500046,0.25
SweetFire Chicken,500037,0.5
SweetFire Chicken,500032,0.5
SweetFire Chicken,500050,0.25
SweetFire Chicken,500015,0.25
SweetFire Chicken,500045,0.25
SweetFire Chicken,500038,0.5
Sweet & Sour Chicken,500013,1
Sweet & Sour Chicken,500035,0.5
Sweet & Sour Chicken,500046,0.25
Sweet & Sour Chicken,500037,0.5
Sweet & Sour Chicken,500032,0.5
Sweet & Sour Chicken,500050,0.25
Sweet & Sour Chicken,500018,0.25
Sweet & Sour Chicken,500015,0.25
Sweet & Sour Chicken,500045,0.25
Sweet & Sour Chicken,500047,0.25
Chicken Eggroll,500021,0.25
Chicken Eggroll,500017,1
Chicken Eggroll,500009,0.5
Chicken Eggroll,500032,0.5
Chicken Eggroll,500031,0.5
Chicken Eggroll,500010,0.5
Chicken Eggroll,500024,0.25
Chicken Eggroll,500029,0.5
Chicken Eggroll,500019,0.25
Chicken Potsticker,500013,1
Chicken Potsticker,500009,0.5
Chicken Potsticker,500032,0.5
Cream Cheese Rangoon,500016,0.5
Cream Cheese Rangoon,500024,0.25
Cream Cheese Rangoon,500021,0.25
Cream Cheese Rangoon,500020,1
Vegetable Spring Roll,500009,0.5
Vegetable Spring Roll,500050,0.25
Vegetable Spring Roll,500011,0.5
Vegetable Spring Roll,500010,0.5
Vegetable Spring Roll,500029,0.5
Vegetable Spring Roll,500024,0.25
Vegetable Spring Roll,500015,0.25
Apple Pie Roll,500050,0.25
Apple Pie Roll,500001,1
Apple Pie Roll,500046,0.25
Apple Pie Roll,500045,0.25
Apple Pie Roll,500022,0.25
Apple Pie Roll,500012,0.25
Apple Pie Roll,500040,0.25